id,text,LProcess,LCover,DATE,VRC,PERCENT,CARDINAL,GPE,PERSON,NORP,DIRECTION,LOC,QUANTITY,SURFACE_UNIT,ORG,PRODUCT,total
1-s2.0-S0140196313000608-main.pdf.tei_94,In Saloum Senegal with the increase of cultivated land and shortening of fallow cycles soils have become less fertile close to the villages although fallow land away from the settlement gained in size mainly due to out migration,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4
1-s2.0-S030438781000043X-mainext.pdf.tei_34,describes Rwandan agriculture as caught in a low investment trap less than 10% of cropland is irrigated while tractors bank credit and government aid are all scarce,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,4
1-s2.0-S0140196310000893-main.pdf.tei_39,Conversely the decrease in the herbaceous standing crop due to the shortening of the fallow period the extension of cultivated and cleared fields the grazing by cattle and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4
1-s2.0-S003442571730041X-main.pdf.tei_25,Due to the weeding practice bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
1-s2.0-S016788090800131X-main.pdf.tei_34,In 1986 the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years Table,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4
1-s2.0-S0303243414001718-main.pdf.tei_34,On the one hand tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4
1-s2.0-S0303243414001718-main.pdf.tei_6_pt2,text After the droughts in the 1970s and 1980s the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land e.g,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4
1-s2.0-S0140196314000536-main.pdf.tei_49,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1-s2.0-S0264837715302131-main.pdf.tei_85,Agriculture in this region has been dominated over the past three decades by cotton production,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
1-s2.0-S0006320709005400-main.pdf.tei_3,The available evidence suggests that forest loss and degradation has been caused primarily by agricultural expansion sometimes facilitated by other human activities such as wood extraction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1-s2.0-S095937809800003X-main.pdf.tei_69,Thus changes in land use strategies result not only in a simple expansion of fields to new and less attractive land,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1-s2.0-S0301479717300713-main.pdf.tei_62,Irrigation from rivers is regarded as minor driver of LULCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
