id,text,VRC,LCover,ORG,LProcess,DATE,PERCENT,NORP,PRODUCT,DIRECTION,LOC,GPE,PERSON,QUANTITY,CARDINAL,total
1-s2.0-S095937809800003X-main.pdf.tei_50,Thus the coherence between spatially related socio economic characteristics of the households agricultural strategies and pastoral strategies at the household level and the land use patterns can be investigated. Farmers in Yomboli distinguish between four main landscape units the dune the pediplain the piedmont and the border of the mare,0,1,0,2,0,0,0,0,0,0,1,0,0,1,5
1-s2.0-S0168192311001122-main.pdf.tei_14,It is well known that the availability of fallow land and hence the duration of fallow periods decrease with increasing population density in rural areas,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
1-s2.0-S095937809800003X-main.pdf.tei_4,1993 An increase of land under cultivation can be in the form of either a clearing more land within the present territory or b migrating to other areas to develop new land for cultivation,1,0,0,2,1,0,0,0,0,0,0,0,0,0,4
1-s2.0-S0140196313000608-main.pdf.tei_123,Some publications describe several case studies when crop land trends are described in different geographic locations. None Time span note http www.tei c.org ns 1.0 place foot n 1 xml id foot 0 Definitions of woodland shrubland and bare soil were not necessarily exactly the same in all case studies,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4
1-s2.0-S0169204617300270-main.pdf.tei_132,In the case of Ghana that statement might be true for Kumasi as expanding city in the hinterlands but not for Bolgatanga,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4
1-s2.0-S0303243414001718-main.pdf.tei_21,Site visits provided information on land cover and land use woody species composition tree height and condition as well as on degradation processes,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3
1-s2.0-S0006320709005400-main.pdf.tei_94,Tree cover in both dense forest and the agricultural mosaics is lost as a result,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3
1-s2.0-S095937809800003X-main.pdf.tei_43,The majority 94% of the households keep livestock which plays an important role as a saving and security system especially in years with crop failure,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3
1-s2.0-S0264837701000205-main.pdf.tei_8,One important issue to address is land use pattern dynamics with the aim of understanding which forces drive land use changes in various environmental socioeconomic and cultural contexts,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3
1-s2.0-S030438781000043X-mainext.pdf.tei_61,In his study of the ICRISAT villages he argues that except in Sayero all have passed or are approaching the stage at which reliance on long bush fallow rotation to maintain soil fertility is no longer feasible.,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3
1-s2.0-S0140196313000608-main.pdf.tei_80,The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years bringing about such risks in rain fed cultivation that farmers abandoned their crops in favour of other economic activities,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3
1-s2.0-S030438781000043X-mainext.pdf.tei_61_pt3,Thus he argues that secure rights have value in those villages other than Sayero where shifting cultivation has evolved into increasingly intensive grass fallow systems,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
1-s2.0-S0140196313000608-main.pdf.tei_110,Other areas have experienced a decrease in crop land despite a population increase,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
1-s2.0-S0140196322000143-main.pdf.tei_84,The plots were only cropped one year and with little success after which irreversible soil erosion started to take place,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3
1-s2.0-S0301479717300713-main.pdf.tei_104,Interviews and literature review showed that biophysical factors as drivers of LULCC were frequently mentioned in relation to anthropogenic drivers,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
1-s2.0-S0303243414001718-main.pdf.tei_42,On the one hand the shallow soils were not able to temper droughts leading to a massive dying of trees and shrubs,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
1-s2.0-S0301479717300713-main.pdf.tei_181,Temperature variability P3 So it has the potential to lead to desertification because the temperatures become very very high,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
1-s2.0-S0301479717300713-main.pdf.tei_106,One explanation could be the indistinct influence of indirect drivers on LULCC for example changes in religious patterns,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
1-s2.0-S0301479717300713-main.pdf.tei_74,Today these areas are free from diseases and are therefore threatened by agriculture,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
1-s2.0-S0303243414001718-main.pdf.tei_10,To investigate and quantify land cover changes over 44 years including aspects of degradation and human expansion,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
1-s2.0-S0140196314000536-main.pdf.tei_38,The MODIS mean seasonal amplitude exposes these green productive belts around the villages indicating active fields with a dense woody vegetation see Fig,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
1-s2.0-S0006320709005400-main.pdf.tei_33,One of the fundamental factors has been demographic growth and the growth in urban food demands,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
1-s2.0-S095937809800003X-main.pdf.tei_53,Secondary crops are cowpeas groundnuts sorrel and okra,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
1-s2.0-S0169204617300270-main.pdf.tei_128,Ineffective land use planning can contribute to an increase in land fragmentation resulting in loss of land for food provision,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1-s2.0-S0169204617300270-main.pdf.tei_109,Therefore infrastructural development excluding roads has a very low confidence level as a driver for urban development in both study areas. Even though it was not mentioned by the experts sand stone and gold mining form an additional driving force of urban development,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1-s2.0-S0304387816300670-main.pdf.tei_207,The dependent variable is growth in the urbanization rate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1-s2.0-S016788090800131X-main.pdf.tei_33,The actual size and proportion of the different land use types changed during the study period,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1-s2.0-S0169204617300270-main.pdf.tei_6,The remote sensing analysis revealed that urban development was stronger in than in,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1-s2.0-S095937809800003X-main.pdf.tei_27_pt2,text Pastoral production has often existed in some sort of symbiotic interaction with the agriculture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1-s2.0-S000632071100245X-main.pdf.tei_18,The shortening of fallow periods may hamper a successful establishment of A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1-s2.0-S0301479717300713-main.pdf.tei_101,From the expert interviews we learned that migration is a driver and a consequence of LULCC and population pressure to which the driver labour shortage is related,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1-s2.0-S0301479717300713-main.pdf.tei_139,P9 We know that urbanisation is coming it s growing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1-s2.0-S030438781000043X-mainext.pdf.tei_45,The vulnerability of fallow investment to insecurity makes the link particularly strong here,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1-s2.0-S0301479717300713-main.pdf.tei_191,Usually it s the people who are in the urban areas who do this vegetable production,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
