doccano task,Segment,label
1-s2.0-S0169204617300270-main.pdf.tei_142,"Furthermore, by developing datasets with the requisite data structures, we could use additional landscape indices to reveal further information about the spatial arrangement and heterogeneity of [urban] development, and to further discriminate levels of landscape fragmentation and/or aggregation over time.', {'ref': [{'@type': 'bibr', '@target': '#b47', '#text': 'Van Daele, Staes, & Schneiders (2015)'}, {'@type': 'bibr', '#text': 'Mastrandrea, Mach, Plattner, Edenhofe, &'}, {'@type': 'bibr', '@target': '#b61', '#text': 'Stocker (2011) and'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Jacobs, Burkhard, Van Daele, Staes, &'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Schneiders (2015)'}], '#text': 'We adapted the confidence level approach of Jacobs, Burkhard, to a general assessment of findings from a mixed-method approach",0
1-s2.0-S0169204617300270-main.pdf.tei_132,"In the case of Ghana, that statement might be true for Kumasi as expanding [city] in the hinterlands, but not for Bolgatanga",1
1-s2.0-S0301479717300713-main.pdf.tei_101,"From the expert interviews, we learned that migration is a driver and a consequence of [LULCC] and population pressure to which the driver ""labour shortage"" is related",1
1-s2.0-S0140196313000608-main.pdf.tei_37,"In northern Burkina Faso, temporary migration is also one of the diversification strategies observed .'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': '[Land use ]conflicts'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b34', '#text': '(Homer-Dixon, 1994)'}, {'@type': 'bibr', '@target': '#b7', '#text': '(Benjaminsen and Ba, 2009)'}, {'@type': 'bibr', '@target': '#b4', '#text': 'Bassett, 1988;'}, {'@type': 'bibr', '@target': '#b7', '#text': 'Benjaminsen and Ba, 2009;'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Moritz, 2008;'}, {'@type': 'bibr', '@target': '#b83', '#text': 'Turner, 2004)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Hesse and Cotula, 2006'}, {'@type': 'bibr', '@target': '#b6', '#text': '(Behnke and Scoones, 1993;'}, {'@type': 'bibr', '@target': '#b17', '#text': 'Ellis, 1988;'}, {'@type': 'bibr', '@target': '#b81', '#text': 'Turner, 1999)'}], '#text': ""During the last few years, violent [land use ]conflicts in the Sahel have become the most popular example of the alleged link between global climate change and conflict",1
1-s2.0-S0140196313000608-main.pdf.tei_123,"Some publications describe several case studies when [crop] land trends are described in different geographic locations.', 'table': {'row': [{'cell': ['Country', 'First author and publication year', {'@cols': '2', '#text': 'Publication provides information on:'}, None, 'Time span']}, {'cell': [None, None, '[Crop] land change', 'Drivers of change', 'Impacts of change', None]}, {'cell': ['Burkina Faso', 'Ouedraogo et al., 2009', 'Yes', 'Yes', 'Yes', '1975e2010']}, {'cell': [None, 'Pare et al., 2008', 'Yes', 'Yes', 'No', '1985e2000']}, {'cell': [None, 'Pare et al., 2008', 'Yes', 'Yes', 'No', '1985e2000']}, {'cell': [None, 'Pare et al., 2008', 'Yes', 'No', 'No', '1985e2000']}, {'cell': [None, 'Wardell et al., 2003', 'Yes', 'Yes', 'No', '1985e2000']}, {'cell': [None, 'Reij et al., 2005', 'Yes', 'Yes', 'No', '1970e2000']}, {'cell': [None, 'Reij et al., 2005', 'Yes', 'Yes', 'No', '1970e2000']}, {'cell': [None, 'Reij et al., 2005', 'Yes', 'Yes', 'No', '1970e2000']}, {'cell': [None, 'Wittig et al., 2007', 'Yes', 'No', 'No', '1960e2000']}, {'cell': [None, 'Mazzucato and Niemeijer, 2002', 'Yes', 'Yes', 'Yes', '1960e2000']}, {'cell': [None, 'Reenberg et al., 1998', 'Yes', 'Yes', 'Yes', '1960e1990']}, {'cell': [None, 'Gray, 1999', 'Yes', 'Yes', 'No', '1980e1990']}, {'cell': [None, 'Gray, 1999', 'Yes', 'Yes', 'No', '1980e1990']}, {'cell': [None, 'Barbier et al., 2009', 'Yes', 'Yes', 'Yes', '1975e2000']}, {'cell': ['Ghana', 'Wardell et al., 2003', 'Yes', 'Yes', 'No', '1985e2000']}, {'cell': ['Mali', 'Tappan and McGahuey, 2007', 'Yes', 'Yes', 'Yes', '1965e2000']}, {'cell': [None, 'Tappan and McGahuey, 2007', 'Yes', 'Yes', 'No', '1965e2000']}, {'cell': [None, 'Ruelland et al., 2010', 'Yes', 'Yes', 'Yes', '1965e2005']}, {'cell': [None, 'Ruelland et al., 2010', 'Yes', 'Yes', 'Yes', '1965e2005']}, {'cell': [None, 'Ruelland et al., 2010', 'Yes', 'Yes', 'No', '1965e2005']}, {'cell': [None, 'Ruelland et al., 2011', 'Yes', 'Yes', 'No', '1980e2005']}, {'cell': [None, 'Bégué et al., 2011', 'Yes', 'No', 'No', '1960e2000']}, {'cell': ['Niger', 'Mortimore and Turner, 2005', 'Yes', 'No', 'No', '1975e1995']}, {'cell': [None, 'Wezel and Haigis, 2002', 'Yes', 'Yes', 'Yes', '1980e2000']}, {'cell': [None, 'Leblanc et al., 2008', 'Yes', 'Yes', 'Yes', '1960e1990']}, {'cell': [None, 'Séguis et al., 2004', 'Yes', 'No', 'Yes', '1960e2000']}, {'cell': [None, 'Moussa et al., 2011', 'Yes', 'No', 'Yes', '1980e1990']}, {'cell': ['Nigeria', 'Mortimore and Turner, 2005', 'Yes', 'Yes', 'No', '1975e1995']}, {'cell': [None, 'Mortimore and Turner, 2005', 'Yes', 'Yes', 'No', '1975e1995']}, {'cell': [None, 'Mortimore and Turner, 2005', 'Yes', 'No', 'No', '1975e1995']}, {'cell': [None, 'Mortimore and Turner, 2005', 'Yes', 'Yes', 'No', '1975e1995']}, {'cell': [None, 'Mortimore et al., 1999', 'Yes', 'No', 'No', '1960e1990']}, {'cell': [None, 'Mortimore et al., 1999', 'Yes', 'No', 'No', '1960e1990']}, {'cell': ['Senegal', 'Mbow et al., 2008', 'Yes', 'Yes', 'Yes', '1960e2000']}, {'cell': [None, 'Woomer et al., 2004', 'Yes', 'Yes', 'No', '1965e2000']}, {'cell': [None, 'Wood et al., 2004', 'Yes', 'Yes', 'No', '1975e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'No', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'Yes', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'No', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'Yes', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'No', 'No', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'No', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'No', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'Yes', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'Yes', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'Yes', '1985e2000']}, {'cell': [None, 'Tappan et al., 2004', 'Yes', 'Yes', 'Yes', '1985e2000']}, {'cell': [None, 'Mortimore and Turner, 2005', 'Yes', 'Yes', 'Yes', '1975e1995']}, {'cell': ['Sudan', 'Elmqvist and Khatir, 2007', 'Yes', 'Yes', 'No', '1960e2000']}, {'cell': ['Ivory Coast', 'Goetze et al., 2006', 'Yes', 'Yes', 'No', '1960e1995']}]}}]
 note: {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@place': 'foot', '@n': '1', '@xml:id': 'foot_0', 'p': 'Definitions of woodland, [shrubland] and [bare soil] were not necessarily exactly the same in all case studies",1
1-s2.0-S0140196310000893-main.pdf.tei_12,However agricultural fires should be distinguished from the other fires that are wildland fires and predominantly grass fires ([savanna] fires),0
1-s2.0-S0140196313000608-main.pdf.tei_119,"Drivers of change in [crop] land.', 'graphic': {'@coords': '8,108.00,66.73,369.83,358.41', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_3', 'head': 'Fig",0
1-s2.0-S030438781000043X-mainext.pdf.tei_101,Regressions estimated using Honore\'s Tobit with HH-season-[crop] fixed effects,0
1-s2.0-S0301479717300713-main.pdf.tei_274,"Error 0.3217 À0.000001553 1.97 À0.4507 1Q Estimate 6.76E-01 À1.18E-05'}]}, {'cell': ['À0.4079', 'À0.2351', {'@cols': '3', '#text': 'À0.1429'}, '0.0706', '3.2215', {'@cols': '2', '#text': 'Avg Elevation Population Change'}, {'@cols': '2', '#text': '0.0003551 8.23E-04'}, '0.001339 0.0005282', '0.265 1.558', '0.79097 0.12009']}, {'cell': [None, None, None, None, None, None, None, {'@cols': '4', '#text': 'Distance to Settlements À0.00006281'}, '0.00001909 À3.291 0.00109 **']}, {'cell': [None, None, None, None, None, None, None, 'Distance to [Roads]', None, {'@cols': '2', '#text': 'À2.61E-05'}, '0.00001566 À1.663 0.09715.']}]}, 'note': {'p': ""Signif",0
1-s2.0-S0264837715302131-main.pdf.tei_106,These soil and [water] conservation techniques have been used for decades to reclaim marginal and degraded barren lands in the arid and semi-arid zones of West Africa,0
1-s2.0-S235198941500102X-main.pdf.tei_28,It is the most common approach used for monitoring [land cover] changes since it provides more useful information on the initial and final [land cover] types in a complete matrix of change direction,0
1-s2.0-S0140196313000608-main.pdf.tei_66,"However, the same approach may apply to understand the different combinations of outcomes that are generated by the different causal conditions ([crop] land increase, decrease, or stability)",0
1-s2.0-S0303243414001718-main.pdf.tei_10,To investigate and quantify [land cover] changes over 44 years including aspects of degradation and human expansion,1
1-s2.0-S0303243414001718-main.pdf.tei_42,"On the one hand, the shallow soils were not able to temper droughts, leading to a massive dying of trees and [shrubs]",1
1-s2.0-S0167880913003502-main.pdf.tei_27,"The lower soil C is related to reduced [crop] yields and C inputs caused by lower soil temperatures under surface residue retention compared with CT systems .'}, {'ref': [{'@type': 'bibr', '#text': '(Chivenge et al., 2011)'}, {'@type': 'bibr', '#text': '(Powlson et al., 2011b;'}, {'@type': 'bibr', '@target': '#b88', '#text': 'Ladha et al., 2011)'}, {'@type': 'bibr', '@target': '#b54', '#text': 'Ghimire et al",0
1-s2.0-S0168192311001122-main.pdf.tei_59,"In the scenario run, an EPIC input database file for each of the 1462 LUSAC units was prepared, containing information about the nearest weather station, the predominant soil type and the [crop] management including proportion of the [fallow]-[crop] rotations",0
1-s2.0-S003442571730041X-main.pdf.tei_52,"The standardized slope, P value, and standard deviation (SD) of the cropped/fallowed area were extracted for further statistical analysis and compared with commonly used time-series NDVI metrics (annual NDVI sum, rainy season NDVI sum (July, August and September), small integral, large integral), and annual rainfall sum (extracted over the Niamey Square Degree from 2000 to 2012 collected by AMMA-CATCH).'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.', '#text': 'Results'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.1.', '#text': '[Seasonal] NDVI signatures of cropped and fallowed fields'}, 'p': [{'ref': [{'@type': 'figure', '@target': '#fig_6', '#text': '5a'}, {'@type': 'figure', '@target': '#fig_6', '#text': '5b'}, {'@type': 'figure', '@target': '#fig_7', '#text': '6a'}], '#text': 'A total area equal to the size of 5000 MODIS pixels was sampled and averaged for cropped and fallowed fields over the period of study",0
1-s2.0-S0304387816300670-main.pdf.tei_106,"Very modest trimming initially gives smaller magnitudes than in Table , but then coefficients stabilize at the point we report where we trim 6 from each of the top and bottom values of growth in moisture and growth in [urban] share, which is about 3.2% of the sample overall",0
1-s2.0-S0301479717300713-main.pdf.tei_62,Irrigation from rivers is regarded as minor driver of [LULCC],2
1-s2.0-S0308521X12000157-main.pdf.tei_20,The classic study that started the diffusion of innovations research tradition tracked the rapid and autonomous diffusion of hybrid [maize] in Iowa,0
1-s2.0-S0168192311001122-main.pdf.tei_14,It is well known that the availability of [fallow] land and hence the duration of [fallow] periods decrease with increasing population density in rural areas,1
1-s2.0-S0169204617300270-main.pdf.tei_93,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by [urban] sprawl where land becomes useless for [agriculture].']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.', '#text': 'Driving forces of [urban] development'}, 'p': [{'ref': {'@type': 'table', '#text': '6a'}, '#text': 'Our three data sets show at a high confidence level that population growth is a driving force of [urban] development in both study areas (Table )",1
1-s2.0-S0140196313000608-main.pdf.tei_1,"Title Content:
 @level: a
 @type: main
 #text: Scientific documentation of [crop] land changes in the Sahel: A half empty box of knowledge to support policy?
 Title Content:
 @level: a
 @type: main
 #text: Scientific documentation of [crop] land changes in the Sahel: A half empty box of knowledge to support policy?
 Title Content:
 [{'@level': 'j', '@type': 'main', '#text': 'Journal of Arid Environments'}, {'@level': 'j', '@type': 'abbrev', '#text': 'Journal of Arid Environments'}]
 Abstract Content:
 div: {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'p': 'The Sahel has been subject of considerable environmental research and development efforts, specifically since the droughts of the 1970s and 1980s",0
1-s2.0-S0140196313000608-main.pdf.tei_50,A detailed screening of the texts allowed us to remove papers that were not associated with [crop] land change processes in the Sahel,0
1-s2.0-S0304387816300670-main.pdf.tei_224,is the number of local intermediate input producers a [city] can support,0
1-s2.0-S016788090800131X-main.pdf.tei_33,The actual size and proportion of the different [land use ]types changed during the study period,1
1-s2.0-S0304387816300670-main.pdf.tei_118,"Similarly, Brückner (2012) uses a larger sample at 1-year intervals.', 'In column 5 we consider growth of primacy: the share of the largest [city] in national population",0
1-s2.0-S095937809800003X-main.pdf.tei_53,"Secondary crops are cowpeas, [groundnuts], sorrel, and okra",1
1-s2.0-S0301479717300713-main.pdf.tei_197,"The results can be found in Annex 3 and Annex 4.', 'table': {'row': [{'cell': ['Classification of driver', 'Current drivers of [LULCC]', 'Interviews: % (no.)', 'Literature: % (no.) of authors']}, {'cell': [None, None, 'of experts (n ¼ 13)', '(n ¼ 12) who mentioned']}, {'cell': [None, None, 'who mentioned', 'the driver']}, {'cell': [None, None, 'the driver', None]}, {'cell': ['Direct driver: Anthropogenic', 'Population growth rural', '100% (13)', '67% (8)']}, {'cell': [None, 'Population growth [urban]', '100% (13)', '33% (4)']}, {'cell': [None, 'Agricultural intensification: modern', '31% (4)', '33% (4)']}, {'cell': [None, 'Agricultural intensification: traditional', '77% (10)', '83% (10)']}, {'cell': [None, 'Agricultural extensification', '69% (9)', '67% (8)']}, {'cell': [None, 'Conservation [agriculture]', '0% (0) -only as', '0% (0)']}, {'cell': [None, None, 'future driver', None]}, {'cell': [None, 'Irrigation (dams, rivers)', '46% (6)', '8% (1)']}, {'cell': [None, 'Dry season gardening', '39% (5)', '25% (3)']}, {'cell': [None, 'Improved [crop] varieties', '39% (5)', '17% (2)']}, {'cell': [None, 'Use of wood', '62% (8)', '75% (9)']}, {'cell': [None, 'Mining', '23% (3)', '33% (4)']}, {'cell': [None, 'Bushfire', '62% (8)', '75% (9)']}, {'cell': [None, 'Livestock', '77% (10)', '67% (8)']}, {'cell': [None, 'Road network', '23% (3)', '25% (3)']}, {'cell': ['Direct driver: Biophysical', 'Soil type and fertility', '39% (5)', '58% (7)']}, {'cell': [None, 'Topography', '46% (6)', '0% (0)']}, {'cell': [None, 'Rainfall variability', '77% (10)', '92% (11)']}, {'cell': [None, 'Temperature variability', '15% (2)', '42% (5)']}, {'cell': [None, 'Wind intensity', '31% (4)', '8% (1)']}, {'cell': ['Indirect driver: Demographic', 'Migration', '77% (10)', '42% (5)']}, {'cell': [None, 'Labour shortage', '31% (4)', '33% (4)']}, {'cell': ['Indirect driver: Cultural', 'Change in religious patterns', '39% (5)', '17% (2)']}, {'cell': [None, 'Level of education', '46% (6)', '25% (3)']}, {'cell': [None, 'Customary land tenure system', '69% (9)', '58% (7)']}, {'cell': ['Indirect driver: Economic', 'Rising living standard', '23% (3)', '8% (1)']}, {'cell': [None, 'Financial capital of rural farmers (poverty)', '77% (10)', '50% (6)']}, {'cell': [None, 'Foreign agricultural medium-scale investments', '15% (2)', '0% (0)']}, {'cell': [None, 'International funding/development aid', '15% (2)', '25% (3)']}, {'cell': [None, 'Credits by family, bank, government or NGO', '0% (0)', '8% (1)']}, {'cell': ['Indirect driver: Technological', 'Science and research', '31% (4)', '0% (0)']}, {'cell': [None, 'Service by extension officers', '15% (2)', '17% (2)']}, {'cell': ['Indirect driver: Political', 'Governmental laws', '18% (1)', '8% (1)']}, {'cell': [None, 'National agricultural programmes', '31% (4)', '8% (1)']}, {'cell': [None, 'Fertilizer subsidies', '0% (0)', '8% (1)']}]}, 'note': {'p': 'Bold indicates the highest rank in the respective method.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_8', 'head': 'Table 9', 'label': '9', 'figDesc': 'Confidence levels for the different drivers of [land use ]and [land cover] change; RS ¼ remote sensing/GIS/spatio-temporal analysis (quantitative); I¼ Interviews (qualitative); L ¼ Literature (qualitative); Q ¼ Questionnaires (quantitative); detailed results in Annex 2, Annex 3, Annex 4 and Annex 5.', 'table': {'row': [{'cell': ['Classification', 'Current drivers of [LULCC]', 'RS', 'L', 'I', 'Q', 'Level of']}, {'cell': ['of driver', None, None, None, None, None, 'Confidence']}, {'cell': ['Direct driver:', 'Population growth rural', 'XX', 'XX', 'XX', 'XX', 'Very High']}, {'cell': ['Anthropogenic', 'Population growth [urban]', '-', 'X', 'XX', 'XX', 'High']}, {'cell': [None, '([urbanisation])', None, None, None, None, None]}, {'cell': [None, 'Agricultural intensification:', '-', 'X', 'X', 'X', 'Medium']}, {'cell': [None, 'modern', None, None, None, None, None]}, {'cell': [None, 'Agricultural intensification:', '-', 'XX', 'XX', 'XX*', 'High']}, {'cell': [None, 'traditional', None, None, None, None, None]}, {'cell': [None, 'Agricultural extensification', '-', 'XX', 'XX', 'XX*', 'High']}, {'cell': [None, 'Conservation [agriculture]', '-', '?', '?', '?', 'Low']}, {'cell': [None, 'Irrigation (dams, rivers)', 'X°', '?', 'X', 'X', 'Medium']}, {'cell': [None, 'Dry season gardening', '-', 'X', 'X', 'X', 'Medium']}, {'cell': [None, 'Improved [crop] varieties', '-', '?', 'X', '?', 'Low']}, {'cell': [None, 'Use of wood (especially fuel wood)', 'X', 'XX', 'XX', 'XX', 'Very High']}]}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_10', 'head': 'Table 10', 'label': '10', 'figDesc': 'Strengths and weaknesses of individual methods used in our study; [LULCC] ¼ [Land use ]and [land cover] change; UER¼ Upper East Region.', 'table': None}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_11', 'head': None, 'label': None, 'figDesc': ""Use of hybrids and/or genetically modified plants e.g",0
1-s2.0-S0140196313000608-main.pdf.tei_94,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration ",2
1-s2.0-S0140196313000608-main.pdf.tei_111,"(2011)'}], '#text': 'Perhaps most importantly, the meta-analysis exposes the surprisingly huge gap in the scientific literature when it comes to actual measurements of [crop] land change in the Sahel, which are in sharp contrast to the number of scientific papers and policy discourses that refer to important past and ongoing changes in land use/cover and [desertification]",0
1-s2.0-S0140196322000143-main.pdf.tei_48,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change in the study site'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_1', '#text': '2a'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2b'}], '#text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",2
1-s2.0-S030438781000043X-mainext.pdf.tei_107,"Fenske / Journal of Development Economics 95 (2011) 137-156'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@place': 'foot', '@n': '3', '@xml:id': 'foot_2', 'p': 'The appropriate counterfactual question is not whether the extent of cocoa [cultivation] would have been larger with more secure tenure, but rather whether the [crop] would have spread faster",1
1-s2.0-S016788090800131X-main.pdf.tei_30,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much",2
1-s2.0-S0167880913003502-main.pdf.tei_49,"Another example, using a 7 year wheat-[corn] rotation in China (Table ; , showed that CT had 0.7 Mg C ha -1 less than NT by the fixed depth method but CT had 0.6 Mg C more than NT by the ESM method (Table ).""}, {'ref': [{'@type': 'bibr', '@target': '#b41', '#text': 'Ellert and Bettany (1995)'}, {'@type': 'bibr', '@target': '#b92', '#text': '(Lee et al., 2009)'}, {'@type': 'bibr', '@target': '#b55', '#text': '(Gifford and Roderick, 2003)'}, {'@type': 'bibr', '@target': '#b106', '#text': '(McBratney and Minasny, 2010)'}, {'@type': 'bibr', '@target': '#b181', '#text': '(Wendt and Hauser, 2013)'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Lee et al",0
